City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Lorengau,PG,81.63,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
188,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
193,Camp Verde,US,73.35,scattered clouds,34.5636,-111.8543,Days Inn by Wyndham Camp Verde Arizona
194,Lingao,CN,74.32,light rain,19.9103,109.6859,Lingao Ditai Inn
196,Arrecife,ES,73.47,clear sky,28.963,-13.5477,Hotel Lancelot
197,Itarema,BR,86.25,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
198,San Quintin,MX,64.92,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
199,Rio Grande,BR,82.51,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
201,Randfontein,ZA,72.91,clear sky,-26.1844,27.702,Barlin Gastehuis - Guesthouse
202,Sibut,CF,79.07,overcast clouds,5.718,19.0739,
207,Faanui,PF,78.62,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
208,Ixtapa,MX,80.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
210,Telemaco Borba,BR,65.46,overcast clouds,-24.3239,-50.6156,Vespasiano Hotel Telêmaco Borba
216,Barcelos,PT,62.92,moderate rain,41.5388,-8.6151,Hotel Do Terço
220,Inongo,CD,71.98,overcast clouds,-1.95,18.2667,Hotel Du Lac
221,Auki,SB,76.64,heavy intensity rain,-8.7676,160.7034,Auki Motel
225,Alyangula,AU,78.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
227,Karratha,AU,73.83,clear sky,-20.7377,116.8463,ibis Styles Karratha
228,Coquimbo,CL,61.52,overcast clouds,-29.9533,-71.3436,Punto de encuentro
229,Aquiraz,BR,86.09,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
230,Bulnes,CL,72.36,overcast clouds,-36.7423,-72.2985,Casa de Adobe
234,Katsuura,JP,61.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
237,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
240,Malakal,SS,79.45,overcast clouds,9.5334,31.6605,Nile Palace Hotel
243,Buraydah,SA,82.85,clear sky,26.326,43.975,فندق راحة السلام
244,Yulara,AU,66.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
245,Saint-Philippe,RE,72.99,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
251,Culebra,PR,86.09,clear sky,18.303,-65.301,Palmetto Guesthouse
252,Carnarvon,AU,68.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
