City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Freetown,SL,8.484,-13.2299,85.71,70,40,4.61,light rain
309,Les Cayes,HT,18.2,-73.75,85.68,65,34,11.14,scattered clouds
310,Talaya,RU,61.3833,152.75,-14.55,100,95,2.17,overcast clouds
311,Kavaratti,IN,10.5669,72.642,82.56,75,99,5.82,overcast clouds
312,Cabo San Lucas,MX,22.8909,-109.9124,85.05,66,5,2.51,clear sky
313,Hofn,IS,64.2539,-15.2082,41.02,56,75,25.32,broken clouds
314,Lawton,US,34.6087,-98.3903,61.27,62,1,21.85,clear sky
315,Asyut,EG,27.181,31.1837,87.98,31,28,7.74,scattered clouds
316,Redwater,US,33.3582,-94.2544,72.91,46,0,3.09,clear sky
317,Edson,CA,53.5835,-116.4356,14.14,79,1,3.44,clear sky
318,Nicoya,CR,10.1483,-85.452,85.55,83,100,3.56,overcast clouds
319,Isabela,PH,6.7085,121.9711,79.65,84,100,3.04,overcast clouds
320,Belmonte,BR,-15.8631,-38.8828,84.2,62,55,9.1,broken clouds
321,Arman,RU,59.7,150.1667,10.36,57,8,10.63,clear sky
322,Labuhan,ID,-6.8844,112.2051,80.85,79,75,1.72,broken clouds
323,Hay River,CA,60.8156,-115.7999,22.98,86,20,9.22,few clouds
324,Guerrero Negro,MX,27.9769,-114.0611,69.53,67,70,6.76,broken clouds
325,Torbay,CA,47.6666,-52.7314,49.28,85,40,11.5,scattered clouds
326,Lebu,CL,-37.6167,-73.65,59.79,73,100,8.97,overcast clouds
327,Songjianghe,CN,42.1859,127.479,37.2,98,100,4.25,moderate rain
328,Basco,PH,20.4487,121.9702,81.28,66,60,19.17,broken clouds
329,Millau,FR,44.0833,2.9167,65.39,96,100,8.79,overcast clouds
330,Mocuba,MZ,-16.8392,36.9856,76.89,76,15,10.22,few clouds
331,Itupeva,BR,-23.1531,-47.0578,70.16,88,90,3.44,moderate rain
332,Arlit,NE,18.7369,7.3853,90.86,12,30,6.2,scattered clouds
333,Ouadda,CF,8.0777,22.4007,76.51,56,97,3.4,overcast clouds
334,Alim,PH,9.5649,122.4876,79.14,82,100,8.3,overcast clouds
335,Ambilobe,MG,-13.2,49.05,75.79,85,89,1.5,light rain
336,Poopo,BO,-18.3667,-66.9667,65.17,23,42,7.07,scattered clouds
337,Tarko-Sale,RU,64.9225,77.785,6.58,93,100,14.85,overcast clouds
338,Humberto De Campos,BR,-2.5983,-43.4611,84.65,72,83,6.73,broken clouds
339,Simplicio Mendes,BR,-7.8539,-41.9103,101.1,18,16,5.93,few clouds
340,Tsabong,BW,-26.0217,22.401,82.44,14,0,2.64,clear sky
341,Roald,NO,62.5833,6.1333,53.33,71,0,9.22,clear sky
342,Solnechnyy,RU,50.7214,136.6319,25.03,66,1,1.34,clear sky
343,Rundu,NA,-17.9333,19.7667,88.0,14,34,5.82,scattered clouds
344,Trairi,BR,-3.2778,-39.2689,86.13,61,65,14.25,broken clouds
345,Nankana Sahib,PK,31.4475,73.6972,71.85,29,0,7.36,clear sky
346,Half Moon Bay,US,37.4636,-122.4286,60.75,80,90,1.99,overcast clouds
